Log-ratio,p-value,minFDR,MSU Locus,Gene,Measure,Description
2.305244207,2.26315E-05,0.004779519,LOC_Os05g02760,LOC_Os05g02760,LOC_Os05g02760,expressed protein
2.29782021,0.004502849,0.038736334,LOC_Os10g23310,LOC_Os10g23310,LOC_Os10g23310,"transferase family protein, putative, expressed"
2.292100012,0.000492015,0.01241319,LOC_Os01g42110,LOC_Os01g42110,LOC_Os01g42110,"nodulin MtN3 family protein, putative, expressed"
2.285721064,1.60502E-05,0.00433666,LOC_Os06g05420,LOC_Os06g05420,LOC_Os06g05420,expressed protein
2.270582438,0.00013368,0.0073335,LOC_Os08g37874,LOC_Os08g37874,LOC_Os08g37874,"2-nitropropane dioxygenase family, putative, expressed"
2.267010808,0.00440763,0.038270684,LOC_Os07g37210,LOC_Os07g37210,LOC_Os07g37210,"MYB family transcription factor, putative, expressed"
2.266766548,0.000110589,0.006866682,LOC_Os07g44410,LOC_Os07g44410,LOC_Os07g44410,"WD40-like Beta Propeller Repeat family protein, expressed"
2.260691643,7.48559E-05,0.006091325,LOC_Os03g11910,LOC_Os03g11910,LOC_Os03g11910,"DnaK family protein, putative, expressed"
2.256940365,4.58582E-05,0.005511324,LOC_Os03g60370,LOC_Os03g60370,LOC_Os03g60370,"histidine acid phosphatase, putative, expressed"
2.253692627,0.001029833,0.017617282,LOC_Os09g30490,LOC_Os09g30490,LOC_Os09g30490,"EF hand family protein, expressed"
2.250499487,0.0054988,0.043836344,LOC_Os06g39780,LOC_Os06g39780,LOC_Os06g39780,"cytochrome P450, putative, expressed"
2.23607713,0.002723106,0.02898929,ChrSy.fgenesh.gene.25,ChrSy.fgenesh.gene.25,ChrSy.fgenesh.gene.25,expressed protein
2.233807802,0.000220864,0.009003427,LOC_Os05g02450,LOC_Os05g02450,LOC_Os05g02450,expressed protein
2.229859352,0.012449797,0.073992612,LOC_Os01g58280,LOC_Os01g58280,LOC_Os01g58280,"OsSub8 - Putative Subtilisin homologue, expressed"
2.228739142,0.001256442,0.019233009,LOC_Os12g24150,LOC_Os12g24150,LOC_Os12g24150,expressed protein
2.228214324,0.002200227,0.025622647,LOC_Os12g11990,LOC_Os12g11990,LOC_Os12g11990,expressed protein
2.219820976,0.002690703,0.028790219,LOC_Os02g44870,LOC_Os02g44870,LOC_Os02g44870,"dehydrin, putative, expressed"
2.219049931,0.000397946,0.01123902,LOC_Os02g32520,LOC_Os02g32520,LOC_Os02g32520,"ERD1 protein, chloroplast precursor, putative, expressed"
2.218756437,0.000177589,0.008213238,LOC_Os03g10320,LOC_Os03g10320,LOC_Os03g10320,expressed protein
2.213713408,0.00025024,0.009431715,LOC_Os01g42410,LOC_Os01g42410,LOC_Os01g42410,"pleiotropic drug resistance protein, putative, expressed"
2.21265316,0.00269068,0.028790219,LOC_Os06g46920,LOC_Os06g46920,LOC_Os06g46920,"dihydroflavonol-4-reductase, putative, expressed"
2.212165982,0.006342098,0.047893695,LOC_Os03g02050,LOC_Os03g02050,LOC_Os03g02050,"LTPL151 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
2.209981501,0.001034094,0.017637531,LOC_Os01g61610,LOC_Os01g61610,LOC_Os01g61610,"flavonol synthase/flavanone 3-hydroxylase, putative, expressed"
2.204665184,0.000131318,0.00732864,LOC_Os01g42380,LOC_Os01g42380,LOC_Os01g42380,"pleiotropic drug resistance protein, putative, expressed"
2.203630447,0.000112738,0.00690195,LOC_Os11g10480,LOC_Os11g10480,LOC_Os11g10480,"dehydrogenase, putative, expressed"
2.20309639,0.001476241,0.020793614,LOC_Os09g20330,LOC_Os09g20330,LOC_Os09g20330,"annexin, putative, expressed"
2.201657653,0.001266258,0.019287868,LOC_Os07g18230,LOC_Os07g18230,LOC_Os07g18230,"lectin-like receptor kinase, putative, expressed"
2.198404312,0.018705668,0.097064744,LOC_Os04g09900,LOC_Os04g09900,LOC_Os04g09900,"ent-kaurene synthase, chloroplast precursor, putative, expressed"
2.190309763,0.000162665,0.008012831,LOC_Os10g30450,LOC_Os10g30450,LOC_Os10g30450,"heavy-metal-associated domain-containing protein, putative, expressed"
2.18770659,0.000954641,0.017025918,LOC_Os03g61150,LOC_Os03g61150,LOC_Os03g61150,expressed protein
2.187669039,0.00029358,0.010109693,LOC_Os01g61070,LOC_Os01g61070,LOC_Os01g61070,"heavy metal-associated domain containing protein, expressed"
2.185678482,0.008200538,0.056489158,LOC_Os03g10110,LOC_Os03g10110,LOC_Os03g10110,"cupin domain containing protein, expressed"
2.182943106,0.001714367,0.022524304,LOC_Os03g36080,LOC_Os03g36080,LOC_Os03g36080,expressed protein
2.178893566,0.00084621,0.015988334,LOC_Os03g55090,LOC_Os03g55090,LOC_Os03g55090,"alpha-glucan phosphorylast isozyme, putative, expressed"
2.1756019,0.000414621,0.011425107,LOC_Os07g23660,LOC_Os07g23660,LOC_Os07g23660,"retrotransposon protein, putative, unclassified, expressed"
2.175043583,0.014603933,0.082368461,LOC_Os11g31530,LOC_Os11g31530,LOC_Os11g31530,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
2.168534994,0.00239462,0.026962355,LOC_Os04g41680,LOC_Os04g41680,LOC_Os04g41680,"CHIT3 - Chitinase family protein precursor, expressed"
2.168075226,0.001085024,0.018124957,LOC_Os07g03590,LOC_Os07g03590,LOC_Os07g03590,"SCP-like extracellular protein, expressed"
2.162708998,2.59541E-05,0.004878547,LOC_Os03g07200,LOC_Os03g07200,LOC_Os03g07200,expressed protein
2.161304235,0.000200282,0.00859182,LOC_Os01g64910,LOC_Os01g64910,LOC_Os01g64910,"anthocyanidin 5,3-O-glucosyltransferase, putative, expressed"
2.15098488,0.004433363,0.038359026,LOC_Os08g23870,LOC_Os08g23870,LOC_Os08g23870,"late embryogenesis abundant group 1, putative, expressed"
2.150604248,0.00021696,0.008906202,LOC_Os07g09010,LOC_Os07g09010,LOC_Os07g09010,"nodulin, putative, expressed"
2.149345398,0.005806199,0.045345808,LOC_Os03g45960,LOC_Os03g45960,LOC_Os03g45960,"thaumatin, putative, expressed"
2.149018288,0.000101632,0.006648163,LOC_Os10g42780,LOC_Os10g42780,LOC_Os10g42780,"lrgB-like family protein, expressed"
2.146567822,0.008661087,0.058549805,LOC_Os09g08130,LOC_Os09g08130,LOC_Os09g08130,"indole-3-glycerol phosphate synthase, chloroplast precursor, putative, expressed"
2.14104867,0.003175555,0.031629211,LOC_Os05g35010,LOC_Os05g35010,LOC_Os05g35010,"cytochrome P450, putative, expressed"
2.140623093,0.007218354,0.0518218,LOC_Os01g43750,LOC_Os01g43750,LOC_Os01g43750,"cytochrome P450 72A1, putative, expressed"
2.138607025,0.00449354,0.03869596,LOC_Os05g12630,LOC_Os05g12630,LOC_Os05g12630,expressed protein
2.138543248,1.70852E-05,0.00433666,LOC_Os09g34250,LOC_Os09g34250,LOC_Os09g34250,"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
2.137858331,0.001450705,0.020582903,LOC_Os10g21590,LOC_Os10g21590,LOC_Os10g21590,"transporter family protein, putative, expressed"
2.133852005,7.33121E-06,0.004079812,LOC_Os03g22120,LOC_Os03g22120,LOC_Os03g22120,"sucrose synthase, putative, expressed"
2.129985809,1.02985E-05,0.004079812,LOC_Os10g32810,LOC_Os10g32810,LOC_Os10g32810,"beta-amylase, putative, expressed"
2.121278882,0.000289335,0.010057133,LOC_Os01g36720,LOC_Os01g36720,LOC_Os01g36720,"transporter, major facilitator family, putative, expressed"
2.119004011,0.006304463,0.047775522,LOC_Os07g47670,LOC_Os07g47670,LOC_Os07g47670,"hypoxia-responsive family protein, putative, expressed"
2.115697384,0.009517229,0.062016631,LOC_Os02g33820,LOC_Os02g33820,LOC_Os02g33820,"abscisic stress-ripening, putative, expressed"
2.112939358,0.000827381,0.015755193,LOC_Os01g03390,LOC_Os01g03390,LOC_Os01g03390,"BBTI7 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
2.112837791,0.005528652,0.043960701,LOC_Os04g27800,LOC_Os04g27800,LOC_Os04g27800,expressed protein
2.111470699,0.006660817,0.04938407,LOC_Os03g10100,LOC_Os03g10100,LOC_Os03g10100,"transporter family protein, putative, expressed"
2.10974431,2.51619E-05,0.004876283,LOC_Os06g46900,LOC_Os06g46900,LOC_Os06g46900,"phosphosulfolactate synthase-related protein, putative, expressed"
2.108910561,1.70409E-05,0.00433666,LOC_Os08g32980,LOC_Os08g32980,LOC_Os08g32980,expressed protein
2.105057955,0.000343693,0.010664804,LOC_Os04g48460,LOC_Os04g48460,LOC_Os04g48460,"cytochrome P450, putative, expressed"
2.097853303,0.002100187,0.025092084,LOC_Os01g12820,LOC_Os01g12820,LOC_Os01g12820,"harpin-induced protein, putative, expressed"
2.097804844,0.001281551,0.019349689,LOC_Os06g12370,LOC_Os06g12370,LOC_Os06g12370,"OsFtsH6 FtsH protease, homologue of AtFtsH6, expressed"
2.09776324,0.007713098,0.054212873,LOC_Os02g36030,LOC_Os02g36030,LOC_Os02g36030,"cytochrome P450, putative, expressed"
2.097711384,0.000151218,0.007786055,LOC_Os02g10880,LOC_Os02g10880,LOC_Os02g10880,"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
2.093537211,0.000289807,0.010057133,LOC_Os07g43604,LOC_Os07g43604,LOC_Os07g43604,expressed protein
2.086527884,0.008315203,0.05694555,LOC_Os05g04930,LOC_Os05g04930,LOC_Os05g04930,"transferase family protein, putative, expressed"
2.085979462,0.000945746,0.017003742,LOC_Os04g41620,LOC_Os04g41620,LOC_Os04g41620,"CHIT2 - Chitinase family protein precursor, expressed"
2.084560156,0.00991227,0.063623419,LOC_Os10g38600,LOC_Os10g38600,LOC_Os10g38600,"glutathione S-transferase GSTU6, putative, expressed"
2.083438158,0.000141695,0.007603983,LOC_Os07g36544,LOC_Os07g36544,LOC_Os07g36544,"serine/threonine-protein kinase receptor precursor, putative, expressed"
2.079791054,0.008624003,0.058373578,LOC_Os09g10620,LOC_Os09g10620,LOC_Os09g10620,"seed maturation protein LEA 4, putative, expressed"
2.073543549,0.000299177,0.010181101,LOC_Os06g28124,LOC_Os06g28124,LOC_Os06g28124,"glycosyltransferase, putative, expressed"
2.067605734,0.000436024,0.011718688,LOC_Os11g26750,LOC_Os11g26750,LOC_Os11g26750,"dehydrin, putative, expressed"
2.06558723,0.001493476,0.020927641,LOC_Os10g40040,LOC_Os10g40040,LOC_Os10g40040,expressed protein
2.06339886,0.001174952,0.018709952,LOC_Os05g45380,LOC_Os05g45380,LOC_Os05g45380,expressed protein
2.062520981,4.06103E-05,0.00533286,LOC_Os02g36490,LOC_Os02g36490,LOC_Os02g36490,expressed protein
2.061239362,0.000580779,0.013420096,LOC_Os03g16030,LOC_Os03g16030,LOC_Os03g16030,"hsp20/alpha crystallin family protein, putative, expressed"
2.058466434,0.001036783,0.017644946,LOC_Os05g25920,LOC_Os05g25920,LOC_Os05g25920,expressed protein
2.049795151,0.000160788,0.007965633,LOC_Os10g38470,LOC_Os10g38470,LOC_Os10g38470,"glutathione S-transferase, putative, expressed"
2.045588374,6.0162E-06,0.003982428,LOC_Os01g13280,LOC_Os01g13280,LOC_Os01g13280,"ubiquitin conjugating enzyme protein, putative, expressed"
2.045539737,0.001960363,0.024125476,LOC_Os10g02880,LOC_Os10g02880,LOC_Os10g02880,"O-methyltransferase, putative, expressed"
2.043355703,0.000148792,0.007737184,LOC_Os05g10670,LOC_Os05g10670,LOC_Os05g10670,"zinc finger CCCH type family protein, putative, expressed"
2.043242455,0.000897331,0.016495155,LOC_Os03g21040,LOC_Os03g21040,LOC_Os03g21040,"stress responsive protein, putative, expressed"
2.041449547,0.000310456,0.010345497,LOC_Os07g32010,LOC_Os07g32010,LOC_Os07g32010,"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
2.040704012,1.45614E-05,0.004286233,LOC_Os10g22070,LOC_Os10g22070,LOC_Os10g22070,"glutathione S-transferase, putative, expressed"
2.039898396,3.42945E-05,0.005218749,LOC_Os03g55240,LOC_Os03g55240,LOC_Os03g55240,"cytochrome P450, putative, expressed"
2.034287617,0.010231537,0.064993057,LOC_Os04g31710,LOC_Os04g31710,LOC_Os04g31710,expressed protein
2.033758044,7.57716E-05,0.006118234,LOC_Os08g10550,LOC_Os08g10550,LOC_Os08g10550,"potassium transporter, putative, expressed"
2.0333395,7.50623E-05,0.006091325,LOC_Os04g48390,LOC_Os04g48390,LOC_Os04g48390,"uncharacterized membrane protein, putative, expressed"
2.030828476,0.000983718,0.01722924,LOC_Os08g31860,LOC_Os08g31860,LOC_Os08g31860,expressed protein
2.029358611,0.002423063,0.027146596,LOC_Os07g44430,LOC_Os07g44430,LOC_Os07g44430,"peroxiredoxin, putative, expressed"
2.028328896,0.004293673,0.037633149,LOC_Os07g18240,LOC_Os07g18240,LOC_Os07g18240,"lectin-like receptor kinase, putative, expressed"
2.027898073,0.000978479,0.017194972,LOC_Os01g56180,LOC_Os01g56180,LOC_Os01g56180,expressed protein
2.02446115,0.018523191,0.096388536,LOC_Os01g23580,LOC_Os01g23580,LOC_Os01g23580,"inorganic H+ pyrophosphatase, putative, expressed"
2.024018764,0.00012532,0.007204953,LOC_Os06g51060,LOC_Os06g51060,LOC_Os06g51060,"CHIT8 - Chitinase family protein precursor, expressed"
2.023616135,0.004791859,0.040154396,LOC_Os12g17804,LOC_Os12g17804,LOC_Os12g17804,expressed protein
2.017524958,3.99575E-05,0.00533286,LOC_Os07g33270,LOC_Os07g33270,LOC_Os07g33270,"DUF584 domain containing protein, putative, expressed"
2.010905743,0.000117819,0.006984248,LOC_Os01g15270,LOC_Os01g15270,LOC_Os01g15270,expressed protein
2.00924778,0.006680626,0.0494903,LOC_Os07g33780,LOC_Os07g33780,LOC_Os07g33780,"pleiotropic drug resistance protein 5, putative, expressed"
2.002001524,0.001687474,0.022346102,LOC_Os01g57004,LOC_Os01g57004,LOC_Os01g57004,"adhesive/proline-rich protein, putative, expressed"
1.999088764,0.005311083,0.042774425,LOC_Os01g53350,LOC_Os01g53350,LOC_Os01g53350,"anthocyanidin 5,3-O-glucosyltransferase, putative, expressed"
1.997639179,7.2773E-06,0.004079812,LOC_Os03g05910,LOC_Os03g05910,LOC_Os03g05910,expressed protein
1.994441748,0.001186258,0.018761675,LOC_Os04g52504,LOC_Os04g52504,LOC_Os04g52504,"adhesive/proline-rich protein, putative, expressed"
1.988057375,0.000433021,0.011688055,LOC_Os04g46970,LOC_Os04g46970,LOC_Os04g46970,"glucosyltransferase, putative, expressed"
1.987426996,0.000181266,0.008306615,LOC_Os07g44440,LOC_Os07g44440,LOC_Os07g44440,"peroxiredoxin, putative, expressed"
1.985759497,0.00514897,0.041924409,LOC_Os03g09910,LOC_Os03g09910,LOC_Os03g09910,"aminotransferase, classes I and II, domain containing protein, expressed"
1.983640432,0.000436179,0.011718688,LOC_Os03g60560,LOC_Os03g60560,LOC_Os03g60560,"ZOS3-21 - C2H2 zinc finger protein, expressed"
1.981529772,0.000342334,0.010664804,LOC_Os08g01910,LOC_Os08g01910,LOC_Os08g01910,expressed protein
1.981070042,0.01095536,0.068165237,LOC_Os01g71700,LOC_Os01g71700,LOC_Os01g71700,"amino acid permease family protein, putative, expressed"
1.980421066,0.000146854,0.007664958,LOC_Os01g42520,LOC_Os01g42520,LOC_Os01g42520,expressed protein
1.979244471,0.011885776,0.071873705,LOC_Os05g19910,LOC_Os05g19910,LOC_Os05g19910,"transferase family protein, putative, expressed"
1.975978851,8.69987E-05,0.006427654,LOC_Os10g25040,LOC_Os10g25040,LOC_Os10g25040,"red chlorophyll catabolite reductase, putative, expressed"
1.973380804,0.000756572,0.015108112,LOC_Os01g55330,LOC_Os01g55330,LOC_Os01g55330,"embryonic protein DC-8, putative, expressed"
1.966565847,5.87485E-05,0.005789999,LOC_Os07g48830,LOC_Os07g48830,LOC_Os07g48830,"glycosyl transferase 8 domain containing protein, putative, expressed"
1.964271665,5.52408E-06,0.003915718,LOC_Os10g07114,LOC_Os10g07114,LOC_Os10g07114,expressed protein
1.964196205,0.000416388,0.011443697,LOC_Os05g49900,LOC_Os05g49900,LOC_Os05g49900,"3-ketoacyl-CoA synthase, putative, expressed"
1.961975098,0.002225057,0.025820651,LOC_Os05g07940,LOC_Os05g07940,LOC_Os05g07940,"glyoxalase family protein, putative, expressed"
1.957610369,0.000750459,0.015070846,LOC_Os08g31090,LOC_Os08g31090,LOC_Os08g31090,expressed protein
1.955519676,5.56147E-07,0.002192403,LOC_Os04g05010,LOC_Os04g05010,LOC_Os04g05010,"CBS domain containing membrane protein, putative, expressed"
1.95221138,0.000845498,0.015988334,LOC_Os11g37970,LOC_Os11g37970,LOC_Os11g37970,"WIP5 - Wound-induced protein precursor, expressed"
1.951386809,0.000899639,0.016530325,LOC_Os05g45090,LOC_Os05g45090,LOC_Os05g45090,"anthocyanidin 5,3-O-glucosyltransferase, putative, expressed"
1.948298454,5.2194E-05,0.005638026,LOC_Os07g06830,LOC_Os07g06830,LOC_Os07g06830,"gibberellin receptor GID1L2, putative, expressed"
1.936941206,0.001806258,0.023080455,LOC_Os11g05410,LOC_Os11g05410,LOC_Os11g05410,"Ser/Thr protein phosphatase family protein, putative, expressed"
1.933849335,0.003049141,0.030935756,LOC_Os05g38290,LOC_Os05g38290,LOC_Os05g38290,"protein phosphatase 2C, putative, expressed"
1.933650017,0.001015678,0.017489359,LOC_Os07g11100,LOC_Os07g11100,LOC_Os07g11100,hypothetical protein
1.933332205,0.001848679,0.023373101,LOC_Os01g53820,LOC_Os01g53820,LOC_Os01g53820,expressed protein
1.92978555,0.006918998,0.050537523,LOC_Os08g45120,LOC_Os08g45120,LOC_Os08g45120,expressed protein
1.926954269,5.53257E-06,0.003915718,LOC_Os08g33710,LOC_Os08g33710,LOC_Os08g33710,"ribonuclease T2 family domain containing protein, expressed"
1.926170073,0.001696824,0.022425187,LOC_Os08g42630,LOC_Os08g42630,LOC_Os08g42630,expressed protein
1.924141467,0.000712671,0.014794109,LOC_Os02g35940,LOC_Os02g35940,LOC_Os02g35940,"gibberellin receptor GID1L2, putative, expressed"
1.922802687,0.002363578,0.026711604,LOC_Os08g13420,LOC_Os08g13420,LOC_Os08g13420,"S-domain receptor-like protein kinase, putative, expressed"
1.919103861,0.009461025,0.061784117,LOC_Os07g46870,LOC_Os07g46870,LOC_Os07g46870,"sex determination protein tasselseed-2, putative, expressed"
1.918105602,9.47052E-05,0.006603406,LOC_Os05g34830,LOC_Os05g34830,LOC_Os05g34830,"No apical meristem protein, putative, expressed"
1.918035507,0.007902354,0.055191381,LOC_Os12g36680,LOC_Os12g36680,LOC_Os12g36680,expressed protein
1.909637213,0.000195377,0.00850127,LOC_Os01g06660,LOC_Os01g06660,LOC_Os01g06660,"thiamine pyrophosphate enzyme, C-terminal TPP binding domain containing protein, expressed"
1.907503724,0.000259836,0.009561235,LOC_Os03g58764,LOC_Os03g58764,LOC_Os03g58764,"OsFBDUF18 - F-box and DUF domain containing protein, expressed"
1.907145143,0.005948496,0.045981809,LOC_Os12g03040,LOC_Os12g03040,LOC_Os12g03040,"no apical meristem protein, putative, expressed"
1.904566884,0.007153064,0.051538458,LOC_Os01g04460,LOC_Os01g04460,LOC_Os01g04460,"Ser/Thr protein kinase, putative, expressed"
1.90276885,0.000477129,0.012207086,LOC_Os08g02700,LOC_Os08g02700,LOC_Os08g02700,"fructose-bisphospate aldolase isozyme, putative, expressed"
1.90118432,0.000227552,0.009117165,LOC_Os08g07730,LOC_Os08g07730,LOC_Os08g07730,"transferase family protein, putative, expressed"
1.899906158,2.13035E-05,0.004779519,LOC_Os01g53810,LOC_Os01g53810,LOC_Os01g53810,"peptidase, putative, expressed"
1.898708582,0.000145241,0.007663156,LOC_Os01g08090,LOC_Os01g08090,LOC_Os01g08090,"flavonol-3-O-glycoside-7-O-glucosyltransferase 1, putative, expressed"
1.897229195,0.000251438,0.009442905,LOC_Os07g49270,LOC_Os07g49270,LOC_Os07g49270,"AMP deaminase, putative, expressed"
1.894667625,4.88704E-06,0.003915718,LOC_Os02g04160,LOC_Os02g04160,LOC_Os02g04160,"transcription elongation factor 1, putative, expressed"
1.894216537,0.000323224,0.010550607,LOC_Os02g15930,LOC_Os02g15930,LOC_Os02g15930,expressed protein
1.894164324,0.001769345,0.02287378,LOC_Os02g48190,LOC_Os02g48190,LOC_Os02g48190,expressed protein
1.893400192,0.001525453,0.021147451,LOC_Os04g33310,LOC_Os04g33310,LOC_Os04g33310,expressed protein
1.891500473,0.004991697,0.041180606,LOC_Os06g15620,LOC_Os06g15620,LOC_Os06g15620,"GASR7 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
1.889140606,7.75384E-05,0.006154907,LOC_Os09g02270,LOC_Os09g02270,LOC_Os09g02270,"cyclase family protein, putative, expressed"
1.888271958,0.01436097,0.081579963,LOC_Os01g50400,LOC_Os01g50400,LOC_Os01g50400,"STE_MEKK_ste11_MAP3K.5 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
1.887280464,2.22046E-05,0.004779519,LOC_Os06g47200,LOC_Os06g47200,LOC_Os06g47200,"LTPL85 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
1.882128,0.000240123,0.009296672,LOC_Os04g19740,LOC_Os04g19740,LOC_Os04g19740,"transketolase, chloroplast precursor, putative, expressed"
1.881047487,6.40402E-05,0.005789999,LOC_Os05g10930,LOC_Os05g10930,LOC_Os05g10930,"OsGrx_C15 - glutaredoxin subgroup III, expressed"
1.875050068,0.000118562,0.006984248,LOC_Os08g05480,LOC_Os08g05480,LOC_Os08g05480,"OsFBX261 - F-box domain containing protein, expressed"
1.874519885,0.001462754,0.02064207,LOC_Os05g45370,LOC_Os05g45370,LOC_Os05g45370,"cell cycle control protein, putative, expressed"
1.874104947,0.001570183,0.021513404,LOC_Os07g05365,LOC_Os07g05365,LOC_Os07g05365,"photosystem II 10 kDa polypeptide, chloroplast precursor, putative, expressed"
1.873886347,0.003958959,0.036016471,LOC_Os04g51160,LOC_Os04g51160,LOC_Os04g51160,"transposon protein, putative, unclassified, expressed"
1.872437477,5.88412E-06,0.003982428,LOC_Os09g31478,LOC_Os09g31478,LOC_Os09g31478,"auxin efflux carrier component, putative, expressed"
1.868174553,0.001645589,0.022055458,LOC_Os02g56810,LOC_Os02g56810,LOC_Os02g56810,"OsFBX68 - F-box domain containing protein, expressed"
1.86532855,0.000310966,0.010345497,LOC_Os03g42830,LOC_Os03g42830,LOC_Os03g42830,"MATE efflux family protein, putative, expressed"
1.859847248,0.000117942,0.006984248,LOC_Os12g22970,LOC_Os12g22970,LOC_Os12g22970,expressed protein
1.855363786,0.000299273,0.010181101,LOC_Os05g44340,LOC_Os05g44340,LOC_Os05g44340,"heat shock protein 101, putative, expressed"
1.853960991,0.002568007,0.028065267,LOC_Os09g30300,LOC_Os09g30300,LOC_Os09g30300,expressed protein
1.85213083,2.31351E-05,0.004779519,LOC_Os08g40680,LOC_Os08g40680,LOC_Os08g40680,"glycosyl hydrolase, putative, expressed"
1.847256422,0.000384013,0.011104388,LOC_Os11g41600,LOC_Os11g41600,LOC_Os11g41600,expressed protein
1.842396498,0.005081563,0.041597356,LOC_Os04g27670,LOC_Os04g27670,LOC_Os04g27670,"terpene synthase family, metal binding domain containing protein, expressed"
1.842327833,0.002007258,0.0244487,LOC_Os01g46970,LOC_Os01g46970,LOC_Os01g46970,"transcription factor, putative, expressed"
1.840821266,5.64622E-05,0.005748317,LOC_Os04g37490,LOC_Os04g37490,LOC_Os04g37490,"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
1.837898493,0.003933351,0.035884763,LOC_Os02g48710,LOC_Os02g48710,LOC_Os02g48710,expressed protein
1.837356925,0.015957994,0.086962869,LOC_Os07g29960,LOC_Os07g29960,LOC_Os07g29960,"cytochrome P450, putative, expressed"
1.836608171,6.64994E-06,0.003982428,LOC_Os02g40900,LOC_Os02g40900,LOC_Os02g40900,"RNA recognition motif containing protein, putative, expressed"
1.830983877,0.003706367,0.034589462,LOC_Os01g52610,LOC_Os01g52610,LOC_Os01g52610,"membrane associated DUF588 domain containing protein, putative, expressed"
1.830942214,0.008248653,0.05666855,LOC_Os09g03200,LOC_Os09g03200,LOC_Os09g03200,expressed protein
1.83024931,0.000466487,0.012061331,LOC_Os01g59100,LOC_Os01g59100,LOC_Os01g59100,"cytokinin-N-glucosyltransferase 1, putative, expressed"
1.827825308,0.000222326,0.009006742,LOC_Os01g11910,LOC_Os01g11910,LOC_Os01g11910,"basic helix-loop-helix, putative, expressed"
1.826431155,0.000373353,0.0109942,LOC_Os03g30950,LOC_Os03g30950,LOC_Os03g30950,"acyl-desaturase, chloroplast precursor, putative, expressed"
1.823696613,0.000369394,0.010925928,LOC_Os04g44830,LOC_Os04g44830,LOC_Os04g44830,"thioredoxin, putative, expressed"
1.823046684,0.000872644,0.016255227,LOC_Os11g47809,LOC_Os11g47809,LOC_Os11g47809,"metallothionein, putative, expressed"
1.82072854,0.014750649,0.082961514,LOC_Os09g04310,LOC_Os09g04310,LOC_Os09g04310,expressed protein
1.816847801,0.005152416,0.041931663,LOC_Os07g40290,LOC_Os07g40290,LOC_Os07g40290,"OsGH3.8 - Probable indole-3-acetic acid-amido synthetase, expressed"
1.815222263,0.001002931,0.017391323,LOC_Os04g13210,LOC_Os04g13210,LOC_Os04g13210,"multidrug resistance-associated protein, putative, expressed"
1.814590693,0.000267239,0.009680662,LOC_Os01g49710,LOC_Os01g49710,LOC_Os01g49710,"glutathione S-transferase, putative, expressed"
1.813917875,0.01221381,0.073064055,LOC_Os12g43970,LOC_Os12g43970,LOC_Os12g43970,"hydrolase, alpha/beta fold family domain containing protein, expressed"
1.813278913,0.002014734,0.024490008,LOC_Os03g16020,LOC_Os03g16020,LOC_Os03g16020,"hsp20/alpha crystallin family protein, putative, expressed"
1.810567617,0.003369414,0.03259804,LOC_Os12g04360,LOC_Os12g04360,LOC_Os12g04360,"calmodulin-like protein 1, putative, expressed"
1.810510159,0.000746719,0.015052479,LOC_Os01g06890,LOC_Os01g06890,LOC_Os01g06890,"leucine-rich repeat family protein, putative, expressed"
1.810433626,0.001555099,0.021369607,LOC_Os08g43334,LOC_Os08g43334,LOC_Os08g43334,"HSF-type DNA-binding domain containing protein, expressed"
1.810042888,0.011096002,0.068754531,LOC_Os10g36090,LOC_Os10g36090,LOC_Os10g36090,"LTPL156 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed"
1.809635639,0.000442243,0.01177326,LOC_Os04g12540,LOC_Os04g12540,LOC_Os04g12540,"receptor-like protein kinase, putative, expressed"
1.806044817,0.011374909,0.069822086,LOC_Os07g37730,LOC_Os07g37730,LOC_Os07g37730,"NADH-ubiquinone oxidoreductase, mitochondrial precursor, putative, expressed"
1.804583907,0.000630638,0.014036806,LOC_Os03g17460,LOC_Os03g17460,LOC_Os03g17460,"IN2-1 protein, putative, expressed"
1.793196917,0.001523881,0.021141643,LOC_Os01g37750,LOC_Os01g37750,LOC_Os01g37750,"glutathione S-transferase, putative, expressed"
1.792974234,0.008755866,0.059008824,LOC_Os05g45020,LOC_Os05g45020,LOC_Os05g45020,"zinc finger/CCCH transcription factor, putative, expressed"
1.792275071,0.004197798,0.037188354,LOC_Os08g36440,LOC_Os08g36440,LOC_Os08g36440,"HVA22, putative, expressed"
1.790014029,0.000399761,0.011253502,LOC_Os06g11450,LOC_Os06g11450,LOC_Os06g11450,"zinc finger, C3HC4 type domain containing protein, expressed"
1.787333488,0.005427533,0.043436844,LOC_Os01g60770,LOC_Os01g60770,LOC_Os01g60770,"expansin precursor, putative, expressed"
