Log-ratio,p-value,minFDR,Ensembl Gene,Gene,Measure,Description
1.997159004,0.000830643,0.019295175,Zm00001d034978,Zm00001d034978,Zm00001d034978,Farnesylated protein 2
1.995140314,0.002078818,0.029458539,Zm00001d014258,Zm00001d014258,Zm00001d014258,alanine aminotransferase5
1.994403839,0.009538305,0.070930234,Zm00001d024778,Zm00001d024778,Zm00001d024778,Hydrophobic protein RCI2B
1.990399599,0.00365625,0.03997775,Zm00001d040585,Zm00001d040585,Zm00001d040585,Betaine aldehyde dehydrogenase 2 mitochondrial
1.987289786,0.004434418,0.04483905,Zm00001d004600,Zm00001d004600,Zm00001d004600,17.4 kDa class III heat shock protein
1.986298025,0.01552974,0.09521227,Zm00001d028432,Zm00001d028432,Zm00001d028432,Nuclear transcription factor Y subunit C-1
1.985591099,0.000659374,0.017603001,Zm00001d040026,Zm00001d040026,Zm00001d040026,Bowman-Birk type trypsin inhibitor
1.980076551,0.000101916,0.008096443,Zm00001d013390,Zm00001d013390,Zm00001d013390,Glucan endo-1%252C3-beta-glucosidase 7
1.979005814,3.88194E-06,0.0036206,Zm00001d011231,Zm00001d011231,Zm00001d011231,DUF630 family protein
1.978547931,0.001283827,0.023372775,Zm00001d033369,Zm00001d033369,Zm00001d033369,Gibberellin-regulated protein 1
1.977397203,4.50441E-06,0.0036206,Zm00001d013039,Zm00001d013039,Zm00001d013039,photosystem I subunit d1
1.976490378,0.000718338,0.018294137,Zm00001d001996,Zm00001d001996,Zm00001d001996,P-loop containing nucleoside triphosphate hydrolases superfamily protein
1.973623514,0.000274713,0.011640951,Zm00001d042148,Zm00001d042148,Zm00001d042148,cytokinin oxidase 2
1.973431826,0.005524001,0.050806704,Zm00001d051280,Zm00001d051280,Zm00001d051280,60S ribosomal protein L23
1.968243361,0.000116665,0.008448871,Zm00001d020496,Zm00001d020496,Zm00001d020496,CBL-interacting serine/threonine-protein kinase 5
1.967881918,0.000479074,0.015131824,Zm00001d033558,Zm00001d033558,Zm00001d033558,Tetratricopeptide repeat (TPR)-like superfamily protein
1.960156083,0.000986008,0.020613378,Zm00001d044124,Zm00001d044124,Zm00001d044124,polypeptide
1.959390968,0.000849506,0.019440103,Zm00001d017032,Zm00001d017032,Zm00001d017032,Glycine-rich cell wall structural protein [Source:UniProtKB/TrEMBL%3BAcc:B4FXY6]
1.952551126,0.001010443,0.020792595,Zm00001d008612,Zm00001d008612,Zm00001d008612,Putative homeobox DNA-binding domain superfamily protein
1.951696396,8.16379E-06,0.004053494,Zm00001d013900,Zm00001d013900,Zm00001d013900,Expressed protein%3B  protein
1.940649986,6.95783E-05,0.007681223,Zm00001d026368,Zm00001d026368,Zm00001d026368,Thioredoxin-like protein CXXS1
1.938706636,0.016348535,0.098338214,Zm00001d006591,Zm00001d006591,Zm00001d006591,F-box domain containing protein
1.937793255,0.000314771,0.01231719,Zm00001d024314,Zm00001d024314,Zm00001d024314,Putative cinnamyl-alcohol dehydrogenase family protein
1.934826642,6.39488E-06,0.003644525,Zm00001d023279,Zm00001d023279,Zm00001d023279,Mad3/BUB1 homology region 1
1.931641221,7.38465E-05,0.007681223,Zm00001d041964,Zm00001d041964,Zm00001d041964,Storage protein
1.929561377,0.000339017,0.012781877,Zm00001d003114,Zm00001d003114,Zm00001d003114,calcium-binding EF hand family protein
1.928402901,2.68884E-05,0.005629304,Zm00001d025142,Zm00001d025142,Zm00001d025142,Adenine nucleotide alpha hydrolases-like superfamily protein
1.923253536,3.64949E-05,0.006151587,Zm00001d017850,Zm00001d017850,Zm00001d017850,60S ribosomal protein L31
1.920901775,2.89167E-06,0.0036206,Zm00001d029654,Zm00001d029654,Zm00001d029654,trehalase1
1.918830633,0.000115752,0.008419169,Zm00001d053211,Zm00001d053211,Zm00001d053211,ER lumen protein retaining receptor family protein
1.911911726,0.004396181,0.044700681,Zm00001d026282,Zm00001d026282,Zm00001d026282,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
1.910539627,0.011903232,0.081151649,Zm00001d006900,Zm00001d006900,Zm00001d006900,Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic
1.909900188,0.000512172,0.01566837,Zm00001d031773,Zm00001d031773,Zm00001d031773,Protein HVA22
1.90981102,0.000869424,0.019592686,Zm00001d048705,Zm00001d048705,Zm00001d048705,benzoxazinone synthesis5
1.899017334,0.000320819,0.012417212,Zm00001d023343,Zm00001d023343,Zm00001d023343,phospholipid transfer protein homolog1
1.897684574,2.30037E-05,0.005558621,Zm00001d006663,Zm00001d006663,Zm00001d006663,light harvesting complex A1
1.894899726,0.000270088,0.011557074,Zm00001d011782,Zm00001d011782,Zm00001d011782,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
1.894475698,0.000847102,0.019427932,Zm00001d050838,Zm00001d050838,Zm00001d050838,Polyadenylate-binding protein RBP47B
1.890782118,0.000257979,0.011262753,Zm00001d011131,Zm00001d011131,Zm00001d011131,Protein phosphatase 2C 16
1.889084697,0.000228488,0.010689556,Zm00001d002584,Zm00001d002584,Zm00001d002584,Protochlorophyllide-dependent translocon component 52 chloroplastic
1.888764381,1.40592E-05,0.004725324,Zm00001d034032,Zm00001d034032,Zm00001d034032,Protein STRICTOSIDINE SYNTHASE-LIKE 3
1.886057854,0.000924423,0.020083994,Zm00001d042772,Zm00001d042772,Zm00001d042772,Ribosomal protein
1.878946781,0.000758672,0.018661587,Zm00001d052108,Zm00001d052108,Zm00001d052108,UMP-CMP kinase family protein%253B UMP-CMP kinase family protein isoform 1%253B UMP-CMP kinase family protein isoform 2%253B UMP-CMP kinase family protein isoform 3%253B UMP-CMP kinase family protein isoform 4
1.878242612,0.000308008,0.012242316,Zm00001d042847,Zm00001d042847,Zm00001d042847,Protein kinase
1.87789011,3.82289E-05,0.006208687,Zm00001d007185,Zm00001d007185,Zm00001d007185,Probable galacturonosyltransferase 7
1.868993878,0.005308217,0.04971171,Zm00001d032311,Zm00001d032311,Zm00001d032311,trehalose-6-phosphate synthase4
1.860707998,0.003339092,0.038026779,Zm00001d021645,Zm00001d021645,Zm00001d021645,Protein LHCP TRANSLOCATION DEFECT
1.86003077,0.000518996,0.015699362,Zm00001d046824,Zm00001d046824,Zm00001d046824,Probable N-acetyltransferase HLS1
1.859989762,0.000155912,0.009423611,Zm00001d003181,Zm00001d003181,Zm00001d003181,Cytochrome b561 and DOMON domain-containing protein
1.857839108,0.000226923,0.010663118,Zm00001d011132,Zm00001d011132,Zm00001d011132,Protein phosphatase 2C 16
1.852352612,0.004027812,0.042283062,Zm00001d037724,Zm00001d037724,Zm00001d037724,Gibberellin 2-beta-dioxygenase
1.851867437,0.00044941,0.014753481,Zm00001d005978,Zm00001d005978,Zm00001d005978,RING-H2 finger protein
1.851100802,0.003811131,0.041082488,Zm00001d014614,Zm00001d014614,Zm00001d014614,Probable xyloglucan endotransglucosylase/hydrolase protein 21
1.847895384,0.000170119,0.009720495,Zm00001d047290,Zm00001d047290,Zm00001d047290,Ninja-family protein 6
1.843340814,0.000323231,0.012432113,Zm00001d025900,Zm00001d025900,Zm00001d025900,Putative GEM-like protein 8
1.841781139,5.57644E-05,0.007189774,Zm00001d013507,Zm00001d013507,Zm00001d013507,Heat shock 70 kDa protein 6 chloroplastic
1.839542806,0.000161941,0.009550202,Zm00001d021086,Zm00001d021086,Zm00001d021086,Transcription factor bHLH137
1.836718559,0.011818574,0.080714418,Zm00001d048907,Zm00001d048907,Zm00001d048907,Mannose-6-phosphate isomerase
1.835942745,9.31269E-05,0.008070608,Zm00001d020612,Zm00001d020612,Zm00001d020612,Choline/ethanolamine kinase
1.8338902,0.014958491,0.093147695,Zm00001d014066,Zm00001d014066,Zm00001d014066,eucaryotic initiation factor7
1.833214283,0.00174929,0.027061011,Zm00001d012591,Zm00001d012591,Zm00001d012591,Probable nucleoredoxin 1
1.831104517,0.000414826,0.014209612,Zm00001d020344,Zm00001d020344,Zm00001d020344,Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic
1.82738179,0.009904085,0.072675547,Zm00001d025901,Zm00001d025901,Zm00001d025901,FIP1
1.825371385,0.001655513,0.026288017,Zm00001d011229,Zm00001d011229,Zm00001d011229,Putative calmodulin-binding family protein
1.823129177,0.001211027,0.022666552,Zm00001d014097,Zm00001d014097,Zm00001d014097,Ras-related protein RABC2a
1.815985288,0.002073886,0.029458539,Zm00001d033732,Zm00001d033732,Zm00001d033732,Pentatricopeptide repeat-containing protein
1.811137557,0.003967975,0.041978962,Zm00001d038267,Zm00001d038267,Zm00001d038267,maternal effect embryo arrest 59
1.810136676,0.000250657,0.011125076,Zm00001d011755,Zm00001d011755,Zm00001d011755,Secreted protein
1.809795141,0.014613423,0.091725178,Zm00001d014426,Zm00001d014426,Zm00001d014426,Glycerol-3-phosphate acyltransferase chloroplastic
1.803483486,0.000120487,0.008475029,Zm00001d005446,Zm00001d005446,Zm00001d005446,Photosystem I reaction center subunit IV A
1.800679207,0.007694567,0.061890194,Zm00001d048479,Zm00001d048479,Zm00001d048479,Nascent polypeptide-associated complex alpha subunit-like protein
1.79911375,6.81986E-05,0.007681223,Zm00001d025903,Zm00001d025903,Zm00001d025903,Endosomal targeting BRO1-like domain-containing protein
1.79714036,5.40513E-05,0.007038128,Zm00001d029810,Zm00001d029810,Zm00001d029810,Methylsterol monooxygenase 1-2
1.794560194,0.000449284,0.014753481,Zm00001d023536,Zm00001d023536,Zm00001d023536,Magnesium-chelatase subunit ChlI-1 chloroplastic
1.793710232,6.10606E-05,0.007365484,Zm00001d043195,Zm00001d043195,Zm00001d043195,Metacaspase-6
1.791905403,0.000106634,0.008274588,Zm00001d039065,Zm00001d039065,Zm00001d039065,G-box binding factor
1.786141157,6.75809E-06,0.003743031,Zm00001d017106,Zm00001d017106,Zm00001d017106,Actin-related protein 3
1.779157639,7.11225E-05,0.007681223,Zm00001d008230,Zm00001d008230,Zm00001d008230,Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase chloroplastic
1.77878952,3.33782E-06,0.0036206,Zm00001d033273,Zm00001d033273,Zm00001d033273,Organic cation/carnitine transporter 7
1.772235483,0.001988832,0.028892554,Zm00001d038312,Zm00001d038312,Zm00001d038312,Integral membrane Yip1 family protein
1.770038366,0.015527412,0.09521227,Zm00001d024531,Zm00001d024531,Zm00001d024531,Putative cellulose synthase-like family protein
1.76952076,0.001781362,0.027331363,Zm00001d019895,Zm00001d019895,Zm00001d019895,Major pollen allergen Car b 1 isoforms 1A and 1B
1.767140388,0.000409818,0.014141005,Zm00001d031908,Zm00001d031908,Zm00001d031908,Superoxide dismutase
1.756410122,0.000614799,0.017001646,Zm00001d029151,Zm00001d029151,Zm00001d029151,UDP-glucose 4-epimerase 4
1.755064964,0.00057465,0.016506606,Zm00001d004624,Zm00001d004624,Zm00001d004624,O-methyltransferase ZRP4
1.75467205,3.23609E-05,0.005950918,Zm00001d046313,Zm00001d046313,Zm00001d046313,Ras-related protein RABA1d
1.754165202,0.00019783,0.010236124,Zm00001d027363,Zm00001d027363,Zm00001d027363,dihydrodipicolinate reductase1
1.746222973,9.0498E-05,0.008024042,Zm00001d021906,Zm00001d021906,Zm00001d021906,Chlorophyll a-b binding protein
1.74616909,0.000219918,0.010616896,Zm00001d034807,Zm00001d034807,Zm00001d034807,Late embryogenesis abundant protein group 2
1.743564367,0.000110882,0.008274588,Zm00001d052277,Zm00001d052277,Zm00001d052277,RNA-processing Lsm domain
1.743290663,0.000142327,0.009148986,Zm00001d040672,Zm00001d040672,Zm00001d040672,Serine/arginine-rich-splicing factor SR34
1.740602016,0.000175548,0.00986176,Zm00001d042536,Zm00001d042536,Zm00001d042536,fructokinase1
1.738038421,0.006465547,0.055870506,Zm00001d040204,Zm00001d040204,Zm00001d040204,Protein CHROMATIN REMODELING 8
1.736865997,6.01806E-05,0.007301864,Zm00001d017767,Zm00001d017767,Zm00001d017767,Lipid phosphate phosphatase epsilon 2 chloroplastic
1.734950542,0.005766604,0.052294968,Zm00001d007477,Zm00001d007477,Zm00001d007477,protein%3B Wall-associated kinase 2-like protein
1.734391093,0.001280765,0.023342249,Zm00001d012574,Zm00001d012574,Zm00001d012574,Probable inactive purple acid phosphatase 1
1.733863354,4.56961E-05,0.006571333,Zm00001d037004,Zm00001d037004,Zm00001d037004,Ras-related protein RABA1d
1.728562832,0.002336056,0.031363289,Zm00001d048924,Zm00001d048924,Zm00001d048924,Putative DEAD-box ATP-dependent RNA helicase family protein
1.719901562,2.61506E-05,0.005558621,Zm00001d040340,Zm00001d040340,Zm00001d040340,PQ-loop repeat family protein / transmembrane family protein
1.717667758,0.00065575,0.017579717,Zm00001d052964,Zm00001d052964,Zm00001d052964,Bax inhibitor-1 family protein
1.712833166,0.000750447,0.018592384,Zm00001d003457,Zm00001d003457,Zm00001d003457,PLAT domain-containing protein 3
1.712187767,0.005603897,0.051260213,Zm00001d051662,Zm00001d051662,Zm00001d051662,60S ribosomal protein L31
1.711279869,0.000531037,0.015845429,Zm00001d009868,Zm00001d009868,Zm00001d009868,Elongation factor 1-alpha
1.709814072,4.17949E-05,0.006395103,Zm00001d009638,Zm00001d009638,Zm00001d009638,Ketol-acid reductoisomerase chloroplastic
1.704316616,0.000167289,0.009636901,Zm00001d045125,Zm00001d045125,Zm00001d045125,RING/U-box superfamily protein
1.701757729,0.000175418,0.00986176,Zm00001d004442,Zm00001d004442,Zm00001d004442,ABC transporter B family member 19
1.69960165,0.00019486,0.010193589,Zm00001d029550,Zm00001d029550,Zm00001d029550,Diacylglycerol kinase 1
1.695417166,0.000449038,0.014753481,Zm00001d023732,Zm00001d023732,Zm00001d023732,Cyclin superfamily protein%252C putative%253B Cyclin-A2
1.69419837,0.00852559,0.065957174,Zm00001d013551,Zm00001d013551,Zm00001d013551,glycine-rich protein
1.690863431,0.002449891,0.032188277,Zm00001d013489,Zm00001d013489,Zm00001d013489,splicing factor Prp18 family protein
1.688416958,0.005110384,0.048588185,Zm00001d033850,Zm00001d033850,Zm00001d033850,alpha tubulin1
1.685203671,0.003634677,0.039891165,Zm00001d021706,Zm00001d021706,Zm00001d021706,Histone H2A
1.684775829,0.000242187,0.010960827,Zm00001d012338,Zm00001d012338,Zm00001d012338,Coronatine-insensitive protein 1
1.684432507,0.001595487,0.025833291,Zm00001d032331,Zm00001d032331,Zm00001d032331,Peptidyl-prolyl cis-trans isomerase
1.683182716,0.001133924,0.021963318,Zm00001d050269,Zm00001d050269,Zm00001d050269,Putative LOB domain-containing family protein
1.683016658,0.003063357,0.036404787,Zm00001d040526,Zm00001d040526,Zm00001d040526,Os05g0140333 protein
1.682728291,0.001301878,0.023559625,Zm00001d022307,Zm00001d022307,Zm00001d022307,10 kDa chaperonin
1.678977013,0.000655785,0.017579717,Zm00001d017379,Zm00001d017379,Zm00001d017379,Thioredoxin M1 chloroplastic
1.678166389,0.000495642,0.015383287,Zm00001d038846,Zm00001d038846,Zm00001d038846,Protein phosphatase 2C 16
1.677832603,0.002482901,0.032405449,Zm00001d039029,Zm00001d039029,Zm00001d039029,thiamine monophosphate synthase
1.676707283,0.003012098,0.036139195,Zm00001d021456,Zm00001d021456,Zm00001d021456,SAUR55-auxin-responsive SAUR family member
1.676368952,0.000504578,0.015501594,Zm00001d044693,Zm00001d044693,Zm00001d044693,Phosphoglucan phosphatase LSF2 chloroplastic
1.674616933,0.000767636,0.018693489,Zm00001d046916,Zm00001d046916,Zm00001d046916,CASP-like protein 10
1.674378872,2.30173E-07,0.002147178,Zm00001d016797,Zm00001d016797,Zm00001d016797,Transmembrane 9 superfamily member 1
1.672645569,0.000383239,0.013650806,Zm00001d048159,Zm00001d048159,Zm00001d048159,40S ribosomal protein S3a-2
1.671589851,0.000188827,0.010063099,Zm00001d031611,Zm00001d031611,Zm00001d031611,ribosomal protein L17c
1.671537876,2.49933E-05,0.005558621,Zm00001d017961,Zm00001d017961,Zm00001d017961,Microtubule-associated protein 70-1
1.670655727,0.004568456,0.045619591,Zm00001d005804,Zm00001d005804,Zm00001d005804,Auxin-repressed protein
1.668917656,3.38974E-06,0.0036206,Zm00001d026079,Zm00001d026079,Zm00001d026079,Probable methyltransferase PMT15
1.666005373,0.000310348,0.01226544,Zm00001d045503,Zm00001d045503,Zm00001d045503,Probable prolyl 4-hydroxylase 3
1.665706217,0.000908849,0.019849824,Zm00001d038992,Zm00001d038992,Zm00001d038992,Glyoxal oxidase
1.664256096,0.000512018,0.01566837,Zm00001d025659,Zm00001d025659,Zm00001d025659,ATP-dependent 6-phosphofructokinase 2
1.663849831,0.000822594,0.019211917,Zm00001d005996,Zm00001d005996,Zm00001d005996,Photosystem I reaction center subunit V
1.660694599,8.39563E-06,0.004053494,Zm00001d004843,Zm00001d004843,Zm00001d004843,abscisic acid stress ripening2
1.660349965,5.67646E-05,0.007202424,Zm00001d038304,Zm00001d038304,Zm00001d038304,Carbohydrate-binding-like fold
1.657796383,2.22997E-05,0.005558621,Zm00001d022581,Zm00001d022581,Zm00001d022581,AMP deaminase
1.657050014,3.45296E-05,0.006008143,Zm00001d016531,Zm00001d016531,Zm00001d016531,Galacturonosyltransferase 8
1.6566737,0.000952653,0.020328521,Zm00001d023387,Zm00001d023387,Zm00001d023387,AT3g10020/T22K18_16%3B Expressed protein%3B  protein
1.656398296,0.001831062,0.027651572,Zm00001d002000,Zm00001d002000,Zm00001d002000,lipoxygenase6
1.654911518,0.000158543,0.00946753,Zm00001d027456,Zm00001d027456,Zm00001d027456,PBA1 homolog1
1.654341936,0.000104068,0.008250731,Zm00001d024372,Zm00001d024372,Zm00001d024372,Chlorophyll a-b binding protein 6 chloroplastic
1.652983189,6.64295E-05,0.007660624,Zm00001d028653,Zm00001d028653,Zm00001d028653,dTDP-glucose dehydratase homolog csu219
1.647729158,0.000371222,0.013392596,Zm00001d015239,Zm00001d015239,Zm00001d015239,Camelliol C synthase
1.646781445,0.000398377,0.013895179,Zm00001d011624,Zm00001d011624,Zm00001d011624,alpha/beta-Hydrolases superfamily protein
1.646237135,0.001830485,0.027651572,Zm00001d037868,Zm00001d037868,Zm00001d037868,Eukaryotic peptide chain release factor subunit 1-1
1.645750523,0.001447941,0.024614781,Zm00001d012978,Zm00001d012978,Zm00001d012978,40S ribosomal protein S23-2
1.642233402,0.000101199,0.008077398,Zm00001d008812,Zm00001d008812,Zm00001d008812,C3H47 C3H type transcription factor
1.63959074,1.87664E-05,0.005271224,Zm00001d040416,Zm00001d040416,Zm00001d040416,DNA gyrase subunit B mitochondrial
1.63800931,4.89681E-05,0.006709487,Zm00001d048710,Zm00001d048710,Zm00001d048710,benzoxazinone synthesis2
1.636792421,0.013210393,0.086135882,Zm00001d025086,Zm00001d025086,Zm00001d025086,DNAse I-like superfamily protein
1.632844448,0.000209519,0.010517596,Zm00001d011193,Zm00001d011193,Zm00001d011193,integral membrane protein
1.632226467,0.004454112,0.044934192,Zm00001d038167,Zm00001d038167,Zm00001d038167,Lipase
1.631457806,2.44023E-05,0.005558621,Zm00001d006329,Zm00001d006329,Zm00001d006329,Hydrophobic protein RCI2B
1.630366325,0.000303548,0.012200136,Zm00001d025786,Zm00001d025786,Zm00001d025786,DNA glycosylase superfamily protein
1.630083084,0.000248535,0.011106123,Zm00001d022264,Zm00001d022264,Zm00001d022264,proteolipid membrane potential regulator5
1.629086435,3.27923E-06,0.0036206,Zm00001d043968,Zm00001d043968,Zm00001d043968,RAD-like 3
1.627925694,0.000109051,0.008274588,Zm00001d039919,Zm00001d039919,Zm00001d039919,DUF789 family protein
1.62480092,0.000118949,0.008451109,Zm00001d012590,Zm00001d012590,Zm00001d012590,3-hydroxybutyryl-CoA dehydrogenase [Source:UniProtKB/TrEMBL%3BAcc:B4F890]
1.617888212,0.005034602,0.048190128,Zm00001d029489,Zm00001d029489,Zm00001d029489,Nuclear transcription factor Y subunit A-8
1.61611414,0.001117213,0.0217923,Zm00001d043970,Zm00001d043970,Zm00001d043970,GATA transcription factor 19
1.614301205,0.002936188,0.035746612,Zm00001d024379,Zm00001d024379,Zm00001d024379,Xyloglucan endotransglucosylase/hydrolase protein 2
1.612810671,0.010569755,0.075489472,Zm00001d037795,Zm00001d037795,Zm00001d037795,Protein ROOT HAIR DEFECTIVE 3 homolog 2
1.612234116,0.002980528,0.035948403,Zm00001d027332,Zm00001d027332,Zm00001d027332,Nonspecific lipid-transfer protein
1.611895829,0.016157248,0.097553759,Zm00001d018819,Zm00001d018819,Zm00001d018819,nine-cis-epoxycarotenoid dioxygenase5
1.608944654,0.012553085,0.083568227,Zm00001d006116,Zm00001d006116,Zm00001d006116,ZCN18
1.608576149,0.004203239,0.043428312,Zm00001d002015,Zm00001d002015,Zm00001d002015,Os07g0120600 protein
1.608576149,0.004203239,0.043428312,Zm00001d002017,Zm00001d002017,Zm00001d002017,Os07g0120600 protein
1.608575821,0.000374762,0.013458559,Zm00001d003671,Zm00001d003671,Zm00001d003671,Phospholipase C
1.605790496,0.001085952,0.021521298,Zm00001d018229,Zm00001d018229,Zm00001d018229,Adenine nucleotide alpha hydrolases-like superfamily protein
1.605496883,2.91592E-06,0.0036206,Zm00001d016720,Zm00001d016720,Zm00001d016720,Serine decarboxylase
1.603489518,0.00152499,0.025432024,Zm00001d048311,Zm00001d048311,Zm00001d048311,Sucrose transport protein SUC3
1.601322651,1.80779E-05,0.005255279,Zm00001d011454,Zm00001d011454,Zm00001d011454,carbonic anhydrase6
1.600783587,0.000312681,0.012295852,Zm00001d031253,Zm00001d031253,Zm00001d031253,dicarboxylic acid transporter2
1.599504933,1.63E-05,0.005002127,Zm00001d017453,Zm00001d017453,Zm00001d017453,Putative glycerol-3-phosphate transporter 4
1.596832514,0.007187804,0.059394203,Zm00001d004452,Zm00001d004452,Zm00001d004452,OSIGBa0147B06.5 protein
1.593549013,0.00051591,0.015681565,Zm00001d028676,Zm00001d028676,Zm00001d028676,Plant-specific domain TIGR01589 family protein
1.593435243,0.000367942,0.013335454,Zm00001d051788,Zm00001d051788,Zm00001d051788,Putative MYB DNA-binding domain superfamily protein
1.591920853,9.96207E-05,0.008077398,Zm00001d008727,Zm00001d008727,Zm00001d008727,phospholipase D2
1.590596199,2.56568E-05,0.005558621,Zm00001d049099,Zm00001d049099,Zm00001d049099,protein disulfide isomerase1
1.589839697,0.000117183,0.008448871,Zm00001d002396,Zm00001d002396,Zm00001d002396,Calcium-transporting ATPase 9 plasma membrane-type
1.589396,0.000813155,0.01918311,Zm00001d006834,Zm00001d006834,Zm00001d006834,Glyceraldehyde-3-phosphate dehydrogenase A
1.588768005,0.001030702,0.020924788,Zm00001d004894,Zm00001d004894,Zm00001d004894,ribulose bisphosphate carboxylase small subunit2
1.583602428,0.000523467,0.015761725,Zm00001d005920,Zm00001d005920,Zm00001d005920,carbonic anhydrase4
1.582074642,3.91169E-05,0.006208687,Zm00001d042117,Zm00001d042117,Zm00001d042117,Pyrroline-5-carboxylate reductase
1.578816652,0.000530988,0.015845429,Zm00001d040691,Zm00001d040691,Zm00001d040691,Probable receptor-like protein kinase
1.577711105,0.000453972,0.014802959,Zm00001d037877,Zm00001d037877,Zm00001d037877,Elongation factor 1-alpha
1.575516939,1.27416E-05,0.004513969,Zm00001d039081,Zm00001d039081,Zm00001d039081,CTP synthase family protein
1.574452281,0.012013099,0.081533157,Zm00001d028561,Zm00001d028561,Zm00001d028561,17.4 kDa class I heat shock protein
1.573523045,0.001438839,0.024572575,Zm00001d048158,Zm00001d048158,Zm00001d048158,40S ribosomal protein S3a-2
1.565833807,0.001144346,0.022125395,Zm00001d006601,Zm00001d006601,Zm00001d006601,Cotton fiber expressed protein 1
1.564585447,0.002162106,0.029958648,Zm00001d009877,Zm00001d009877,Zm00001d009877,Protein plastid transcriptionally active 16 chloroplastic
1.564175844,0.010197501,0.073891015,Zm00001d003274,Zm00001d003274,Zm00001d003274,OSJNBb0011N17.11 protein
1.564051926,0.002373681,0.031586425,Zm00001d044352,Zm00001d044352,Zm00001d044352,Aluminum-activated malate transporter 9
1.562904,0.010462494,0.075073535,Zm00001d050468,Zm00001d050468,Zm00001d050468,Wall-associated receptor kinase 3
1.561038971,0.000475933,0.015068913,Zm00001d024281,Zm00001d024281,Zm00001d024281,polyamine oxidase1
1.561013222,0.003410585,0.038539384,Zm00001d024425,Zm00001d024425,Zm00001d024425,Regulator of Vps4 activity in the MVB pathway protein
1.56060791,0.000177091,0.009892058,Zm00001d030020,Zm00001d030020,Zm00001d030020,Pyruvate kinase
1.557625413,0.000668075,0.017672704,Zm00001d022517,Zm00001d022517,Zm00001d022517,NAC transcription factor
1.55498457,0.001691123,0.02662198,Zm00001d047662,Zm00001d047662,Zm00001d047662,Tetratricopeptide repeat (TPR)-like superfamily protein
1.552446365,0.002146007,0.029861849,Zm00001d034776,Zm00001d034776,Zm00001d034776,Elongation factor 2
1.552059174,0.000734513,0.018456217,Zm00001d048998,Zm00001d048998,Zm00001d048998,Chlorophyll a-b binding protein CP26 chloroplastic
1.550841808,3.52116E-06,0.0036206,Zm00001d002799,Zm00001d002799,Zm00001d002799,Homeobox-leucine zipper protein ATHB-12
1.550367117,0.010879237,0.076740428,Zm00001d029601,Zm00001d029601,Zm00001d029601,LOB domain-containing protein 38
1.545895338,0.000329921,0.012550761,Zm00001d037211,Zm00001d037211,Zm00001d037211,annexin1
1.545218468,3.74443E-06,0.0036206,Zm00001d027886,Zm00001d027886,Zm00001d027886,compact plant2
1.544149399,0.000781617,0.018868197,Zm00001d008808,Zm00001d008808,Zm00001d008808,Putative MYB DNA-binding domain superfamily protein
1.540424824,0.00079752,0.019056333,Zm00001d028117,Zm00001d028117,Zm00001d028117,40S ribosomal protein S3a-2
1.53856945,3.71174E-05,0.006164774,Zm00001d037108,Zm00001d037108,Zm00001d037108,3-oxoacyl-
1.534037948,5.94847E-07,0.002599083,Zm00001d020627,Zm00001d020627,Zm00001d020627,Subtilisin-like protease SBT1.8
1.533040524,0.001316889,0.023667893,Zm00001d037323,Zm00001d037323,Zm00001d037323,Threonine endopeptidase
1.532466888,0.005466212,0.050458529,Zm00001d044686,Zm00001d044686,Zm00001d044686,Non-specific lipid-transfer protein
1.531862497,0.000769288,0.018708402,Zm00001d042490,Zm00001d042490,Zm00001d042490,Glycosyltransferase
1.531661034,0.000197422,0.010228507,Zm00001d042443,Zm00001d042443,Zm00001d042443,BTB/POZ and TAZ domain-containing protein 2
1.529641151,0.00054525,0.01610925,Zm00001d018896,Zm00001d018896,Zm00001d018896,evolutionarily conserved C-terminal region 2
1.523551941,0.000179175,0.009916627,Zm00001d021304,Zm00001d021304,Zm00001d021304,Endoglucanase 2
1.523169994,2.27839E-05,0.005558621,Zm00001d033675,Zm00001d033675,Zm00001d033675,Integral membrane protein DUF6 containing protein [Source:UniProtKB/TrEMBL%3BAcc:B6SKY9]
1.522217989,0.000390227,0.013774951,Zm00001d045965,Zm00001d045965,Zm00001d045965,Formate dehydrogenase chloroplastic/mitochondrial
1.519836426,0.00431071,0.044213451,Zm00001d049049,Zm00001d049049,Zm00001d049049,Pyruvate kinase
1.518241882,0.008372993,0.065161208,Zm00001d003966,Zm00001d003966,Zm00001d003966,Octicosapeptide/Phox/Bem1p family protein
1.518103123,0.000455124,0.014815629,Zm00001d016802,Zm00001d016802,Zm00001d016802,L-ascorbate peroxidase S chloroplastic/mitochondrial
1.516230583,0.001486035,0.025041201,Zm00001d031956,Zm00001d031956,Zm00001d031956,Ribosomal protein
1.516040325,0.000991115,0.020622486,Zm00001d053936,Zm00001d053936,Zm00001d053936,Polyketide cyclase/dehydrase and lipid transport superfamily protein
1.513216496,9.78478E-05,0.008077398,Zm00001d029679,Zm00001d029679,Zm00001d029679,Ethylene-responsive transcription factor ERF025
